Claim Number,city,state
2007112835580,Aberdeen,WA
2006013100660,Aberdeen,WA
2004092263448,Aberdeen,WA
2004051451940,Aberdeen,WA
2006040604107,Aberdeen,WA
2005042583313,Aberdeen,WA
2005120897382,Aberdeen,WA
0826074M,Aberdeen,WA
2011012079659,Aberdeen,WA
2008062046007,Aberdeen,WA
2007070327829,Aberdeen,WA
2004051652352,Aberdeen,WA
2012032091822,Aberdeen,WA
2007110934801,Aberdeen,WA
2008012938784,Aberdeen,WA
2004080960877,Aberdeen,WA
2009123066951,Aberdeen,WA
2004122270501,Aberdeen,WA
2005050483998,Aberdeen,WA
2012060694561,Aberdeen,WA
2007051025259,Aberdeen,WA
2006071809653,Aberdeen,WA
2010101877058,Aberdeen,WA
2011100487408,Aberdeen,WA
2013071805255,Aberdeen,WA
2010082175195,Aberdeen,WA
2012033092284,Aberdeen,WA
2015120227241,Aberdeen,WA
2015080324436,Aberdeen,WA
2015110926712,Aberdeen,WA
2015123128024,Aberdeen,WA
2007081730431,Abilene,TX
2008110551926,Abilene,TX
2005030777104,Abilene,TX
2006010698928,Abilene,TX
2007101133263,Abilene,TX
2014022111854,Abilene,TX
2007021621081,Abilene,TX
2007110234292,Abilene,TX
2009121066366,Abilene,TX
2007041824207,Abilene,TX
2008010937613,Abilene,TX
2008012238311,Abilene,TX
2009111865452,Abilene,TX
2015081024734,Abilene,TX
2006082511602,Abilene,TX
2005053185579,Abilene,TX
2008012238279,Abilene,TX
2007051625441,Abilene,TX
2009080662348,Abilene,TX
2004083061628,Abilene,TX
2005021176043,Abilene,TX
2012051594007,Abilene,TX
2014011710912,Abilene,TX
2008121253355,Abilene,TX
2010032269809,Abilene,TX
2008063046350,Abilene,TX
2007101833595,Abilene,TX
2013030702460,Abilene,TX
2007121236450,Abilene,TX
2007020920643,Abilene,TX
2008110551909,Abilene,TX
2010032269845,Abilene,TX
2013022001708,Abilene,TX
2014062014774,Abilene,TX
2010012567837,Abilene,TX
2011020279892,Abilene,TX
2011081986331,Abilene,TX
2015012220065,Abilene,TX
2011062984740,Abilene,TX
2012020190553,Abilene,TX
2012121399282,Abilene,TX
2015092825697,Abilene,TX
2014092316923,Abilene,TX
2013112709710,Abilene,TX
2014112518533,Abilene,TX
2014121519206,Abilene,TX
2005051284606,Springfield,IL
2004080960855,Springfield,IL
2008092450335,Springfield,IL
2007101633494,Springfield,IL
2012070995115,Springfield,IL
2004111366921,Springfield,IL
2005082991745,Springfield,IL
1022278M,Springfield,IL
2004091362801,Springfield,IL
2005012874864,Springfield,IL
2008060445249,Springfield,IL
2007083031153,Springfield,IL
2005061386328,Springfield,IL
2004090261907,Springfield,IL
